Licence,treatment,PLOT,TREE,Species,HT,DBH,Stems_ha,Gross_Bio,TC
A40440,sx,86,4,Sx,16.1,20.4,183.57,0.239,8
A40440,sx,84,11,Sx,16,14.3,373.58,0.121,8
A40440,sx,87,1,Cw,15.6,21.4,111.21,0.261,8
A40440,sx,81,2,Sx,15.4,14.4,245.61,0.118,8
A40440,sx,82,6,Sx,15.4,23.9,111.45,0.309,8
A40440,sx,82,10,Sx,15.4,27.7,82.97,0.41,8
A40440,sx,86,2,Sx,15.4,19.1,209.41,0.202,8
A40440,sx,81,4,Sx,15.2,12.2,342.18,0.085,8
A40440,sx,81,3,Sx,15.1,12.4,331.23,0.087,8
A40440,sx,84,10,Sx,15.1,17.8,241.11,0.173,8
A40440,sx,88,5,Sx,14.9,19.6,132.57,0.205,8
A40440,sx,84,8,Sx,14.8,22,157.84,0.254,8
A40440,sx,87,3,Sx,14.8,29.3,59.32,0.441,8
A40440,sx,83,3,Sx,14.6,18.1,155.46,0.173,8
A40440,sx,84,1,Sx,14.5,20.2,187.22,0.212,8
A40440,sx,83,1,Hw,14.4,13.4,283.64,0.083,8
A40440,sx,83,4,Sx,14,19.2,138.16,0.186,8
A40440,sx,82,2,Sx,13.9,18.8,180.12,0.178,8
A40440,sx,84,7,Sx,13.9,13,452.04,0.088,8
A40440,sx,86,8,Sx,13.9,25.7,115.66,0.323,8
A40440,sx,85,1,Sx,13.8,17.8,120.56,0.159,8
A40440,sx,81,1,Sx,13.7,16.3,191.69,0.133,8
A40440,sx,84,12,Sx,13.7,23.9,133.74,0.277,8
A40440,sx,84,5,Sx,13.6,25,122.23,0.3,8
A40440,sx,81,9,Sx,13.3,19.5,133.94,0.183,8
A40440,sx,82,7,Hw,13.3,13.2,365.37,0.074,8
A40440,sx,85,8,Hw,13.2,12.9,229.54,0.07,8
A40440,sx,86,1,Sx,13.2,15.7,309.93,0.12,8
A40440,sx,86,5,Acw,13.2,8.1,1164.37,0.027,1
A40440,sx,87,2,Sx,13.2,15.7,206.62,0.12,8
A40440,sx,88,4,Sx,13.2,18.8,144.1,0.169,8
A40440,sx,87,6,Cw,13,21,115.49,0.213,8
A40440,sx,86,10,Sx,12.7,18.2,230.63,0.153,8
A40440,sx,84,3,Sx,12.6,21.4,166.81,0.207,8
A40440,sx,87,12,Hw,12.5,13.6,275.35,0.074,8
A40440,sx,83,2,Sx,12.4,17.3,170.17,0.136,8
A40440,sx,87,10,Cw,12.3,19.5,133.94,0.177,8
A40440,sx,81,11,Sx,12.1,12.2,342.18,0.068,8
A40440,sx,84,4,Hw,12,11.5,577.65,0.051,8
A40440,sx,88,1,Sx,12,22.8,97.97,0.224,8
A40440,sx,86,3,Sx,11.9,20.9,174.89,0.188,8
A40440,sx,84,6,Hw,11.7,9.6,828.93,0.034,8
A40440,sx,85,9,Hw,11.7,13.8,200.57,0.071,8
A40440,sx,86,7,Sx,11.6,13.4,425.45,0.078,8
A40440,sx,84,2,Hw,11.5,10.4,706.31,0.04,8
A40440,sx,83,6,Sx,11.3,16.6,184.82,0.115,8
A40440,sx,87,13,Hw,11.3,9.5,564.32,0.032,8
A40440,sx,81,7,Sx,11.2,13.9,263.6,0.081,8
A40440,sx,81,10,Hw,11.2,9.3,588.85,0.031,8
A40440,sx,85,5,Sx,11.2,26.9,52.79,0.29,8
A40440,sx,82,9,Sx,10.9,22.9,121.4,0.207,8
A40440,sx,82,3,Hw,10.8,16.2,242.58,0.091,8
A40440,sx,82,8,Sx,10.8,20.9,145.74,0.172,8
A40440,sx,85,2,Hw,10.8,9.8,397.72,0.033,8
A40440,sx,81,5,Sx,10.7,10,509.3,0.041,8
A40440,sx,81,6,Sx,10.7,12,353.68,0.059,8
A40440,sx,87,11,Hw,10.4,10.2,489.52,0.034,8
A40440,sx,88,2,Sx,10.4,23.3,93.81,0.205,8
A40440,sx,88,3,Sx,10.2,17.4,168.22,0.114,8
A40440,sx,82,5,Hw,9.9,8.3,924.11,0.022,8
A40440,sx,82,4,Hw,9.8,10.7,556.05,0.036,8
A40440,sx,87,9,Bl,9.7,10.1,499.26,0.039,8
A40440,sx,88,7,Cw,9,14.3,249.06,0.076,8
A40440,sx,87,5,Hw,8.8,11.7,372.05,0.039,8
A40440,sx,85,6,Cw,8.3,11.7,279.04,0.049,8
A40440,sx,87,4,Sx,7.8,7.5,905.41,0.018,8
A40440,sx,85,7,Cw,7.4,8.7,504.65,0.026,8
A40472,mix,56,4,Pl,17.1,18,157.19,0.204,8
A40472,mix,55,3,Sx,16.7,22.9,97.12,0.308,8
A40472,mix,56,3,Pl,16.2,16.9,178.32,0.171,8
A40472,mix,49,3,Hw,15.8,24.6,84.16,0.305,8
A40472,mix,54,1,Pl,15.5,16.1,196.48,0.149,8
A40472,mix,52,1,Sx,15.4,22.3,102.41,0.271,8
A40472,mix,51,7,Sx,15.3,22.3,76.81,0.269,8
A40472,mix,53,9,Hw,15.3,16,248.68,0.125,8
A40472,mix,56,8,Pl,15.2,21.9,106.19,0.262,8
A40472,mix,51,3,Sx,15.1,22.4,76.13,0.268,8
A40472,mix,56,1,Hw,15,20.6,120.02,0.203,8
A40472,mix,56,12,Pl,14.8,17.5,166.3,0.166,8
A40472,mix,56,11,Pl,14.7,15.9,201.45,0.137,8
A40472,mix,55,9,Sx,14.6,23.1,95.44,0.276,8
A40472,mix,50,3,Sx,14.5,24.8,62.11,0.314,8
A40472,mix,52,5,Hw,14.1,16.3,191.69,0.12,8
A40472,mix,53,7,Sx,14.1,14.8,290.64,0.114,8
A40472,mix,53,8,Pl,14.1,17.3,212.71,0.154,8
A40472,mix,55,7,Pl,14.1,13.3,287.92,0.093,8
A40472,mix,54,8,Sx,14,18.9,142.58,0.181,8
A40472,mix,55,8,Pl,14,14,259.84,0.102,8
A40472,mix,51,8,Hw,13.9,17.1,130.63,0.13,8
A40472,mix,53,5,Sx,13.9,16.4,236.7,0.137,8
A40472,mix,56,9,Pl,13.9,16.8,180.45,0.144,8
A40472,mix,56,10,Pl,13.9,13.8,267.43,0.099,8
A40472,mix,49,4,Hw,13.6,17.4,168.22,0.132,8
A40472,mix,51,1,Sx,13.6,16.6,138.62,0.137,8
A40472,mix,55,1,Pl,13.6,17.9,158.95,0.159,8
A40472,mix,55,6,Pl,13.5,12.6,320.8,0.08,8
A40472,mix,56,2,Hw,13.5,13.4,283.64,0.077,8
A40472,mix,56,7,Pl,13.4,14.5,242.23,0.104,8
A40472,mix,53,10,Pl,13.2,16.6,231.03,0.133,8
A40472,mix,54,7,Pl,13.2,16.9,178.32,0.138,8
A40472,mix,55,10,Pl,13.1,17,176.23,0.138,8
A40472,mix,50,2,Hw,13,17.5,124.73,0.127,8
A40472,mix,54,5,Pl,13,16.3,191.69,0.127,8
A40472,mix,49,1,Pl,12.9,13.2,292.3,0.084,8
A40472,mix,51,6,Sx,12.9,19.9,96.46,0.184,8
A40472,mix,52,10,Pl,12.7,9.5,564.32,0.043,8
A40472,mix,51,5,Hw,12.6,17.3,127.63,0.121,8
A40472,mix,53,4,Sx,12.5,13.8,334.29,0.089,8
A40472,mix,54,4,Hw,12.5,16.3,191.69,0.106,8
A40472,mix,49,6,Hw,12.4,15.2,220.44,0.092,8
A40472,mix,49,2,Pl,12.3,9.7,541.29,0.044,9
A40472,mix,52,8,Hw,12.3,16.4,189.36,0.106,8
A40472,mix,53,6,Sx,12.2,10.6,566.59,0.053,8
A40472,mix,50,6,Sx,12,18.1,116.59,0.144,8
A40472,mix,52,7,Pl,11.8,15.3,217.56,0.101,8
A40472,mix,55,2,Pl,11.8,9,628.76,0.036,8
A40472,mix,54,3,Sx,11.7,18.2,153.75,0.142,8
A40472,mix,51,10,Hw,11.6,11.9,269.74,0.052,8
A40472,mix,55,4,Hw,11.4,13,301.36,0.062,8
A40472,mix,53,1,Pl,11.3,17.6,205.52,0.127,8
A40472,mix,56,6,Pl,10.9,11,420.91,0.049,8
A40472,mix,50,1,Pl,10.6,12.7,236.82,0.063,8
A40472,mix,49,5,Hw,10.5,13.2,292.3,0.059,8
A40472,mix,53,2,Hw,10.5,9.1,768.77,0.028,8
A40472,mix,56,5,Hw,10.4,13.5,279.45,0.061,8
A40472,mix,50,4,Hw,10.2,11.8,274.33,0.045,8
A40472,mix,52,4,Hw,9.6,9.7,541.29,0.029,8
A40472,mix,52,3,Hw,9.5,10,509.3,0.03,8
A40472,mix,49,7,Sx,9.2,9.8,530.3,0.034,8
A40472,mix,49,8,Sx,9.2,10.6,453.27,0.04,8
A40472,mix,52,6,Hw,8.8,9.9,519.64,0.027,8
A40472,mix,55,11,Pl,8.7,10.4,470.87,0.035,8
A40472,mix,52,9,Pl,8.6,7.8,837.11,0.02,9
A40472,mix,50,5,Hw,8.5,11.4,293.92,0.035,8
A40472,mix,51,4,Pl,8.3,12.2,256.63,0.045,8
A40472,mix,54,2,Hw,7.4,7.6,881.74,0.014,8
A40473,mix,64,2,At,21.4,17.2,258.23,0.21,2
A40473,mix,64,3,Sx,16.8,27.9,98.14,0.451,8
A40473,mix,60,2,Sx,16.5,21.2,84.99,0.263,8
A40473,mix,63,5,Pl,16.4,17,176.23,0.175,8
A40473,mix,64,7,Cw,16.1,19.5,200.91,0.227,8
A40473,mix,59,9,Pl,16,15.6,156.96,0.145,8
A40473,mix,61,7,Sx,15.9,22,105.23,0.272,8
A40473,mix,64,5,Hw,15.9,21.5,165.27,0.235,8
A40473,mix,61,8,Sx,15.6,21.1,114.39,0.247,8
A40473,mix,59,2,Pl,15.5,17.5,124.73,0.174,8
A40473,mix,59,3,Pl,15.1,20.8,88.29,0.236,8
A40473,mix,62,8,Hw,15.1,22.2,129.17,0.238,8
A40473,mix,63,6,Pl,15.1,16.4,189.36,0.15,8
A40473,mix,59,10,Sx,15,16,149.21,0.14,8
A40473,mix,60,6,Sx,15,19.8,97.43,0.211,8
A40473,mix,59,5,Pl,14.8,20,95.49,0.214,8
A40473,mix,59,6,Pl,14.6,15.9,151.09,0.136,8
A40473,mix,63,10,Pl,14.6,15.5,211.99,0.13,8
A40473,mix,58,4,Sx,14.5,26.9,35.19,0.367,8
A40473,mix,59,4,Pl,14.4,15.8,153.01,0.133,8
A40473,mix,62,6,Sx,14.4,19.5,167.42,0.197,8
A40473,mix,60,1,Pl,14.3,19.2,103.62,0.191,8
A40473,mix,63,1,Pl,14.3,16.6,184.82,0.145,8
A40473,mix,63,9,Pl,14.2,14,259.84,0.104,8
A40473,mix,59,7,Sx,14.1,16,149.21,0.132,8
A40473,mix,62,7,Sx,14,25.3,99.46,0.316,8
A40473,mix,63,3,Pl,14,14,259.84,0.102,8
A40473,mix,62,1,Sx,13.9,20.4,152.97,0.208,8
A40473,mix,62,5,Pl,13.9,9.5,705.4,0.048,8
A40473,mix,64,1,Sx,13.9,24.1,131.53,0.286,8
A40473,mix,64,4,Hw,13.9,13.3,431.88,0.079,8
A40473,mix,58,11,Sx,13.8,19.5,66.97,0.189,8
A40473,mix,60,3,Sx,13.8,14.4,184.21,0.106,8
A40473,mix,62,3,Pl,13.8,12.9,382.56,0.086,8
A40473,mix,62,4,Pl,13.8,13.9,329.5,0.099,8
A40473,mix,57,3,Pl,13.7,12.9,306.05,0.085,8
A40473,mix,63,8,Pl,13.7,17.1,174.17,0.147,8
A40473,mix,63,4,Pl,13.6,13.9,263.6,0.098,8
A40473,mix,60,8,Sx,13.5,15.7,154.96,0.122,8
A40473,mix,59,8,Sx,13.3,23.3,70.36,0.257,8
A40473,mix,60,4,Pl,13.2,10.9,321.5,0.059,8
A40473,mix,57,2,Sx,13,13.5,279.45,0.089,8
A40473,mix,60,5,Pl,13,9,471.57,0.04,8
A40473,mix,60,7,Hw,13,17.1,130.63,0.122,8
A40473,mix,64,6,Hw,12.9,11.7,558.07,0.056,8
A40473,mix,63,2,Pl,12.7,16.8,180.45,0.131,8
A40473,mix,59,1,Hw,12.5,16.3,143.77,0.106,8
A40473,mix,61,1,Sx,12.5,20.8,117.72,0.195,8
A40473,mix,58,1,Hw,12.3,15,113.18,0.089,8
A40473,mix,58,8,Sx,12.3,18.3,76.04,0.15,8
A40473,mix,57,1,Sx,12.2,15.5,211.99,0.108,8
A40473,mix,58,7,Sx,12.1,16.9,89.16,0.127,8
A40473,mix,61,5,Sx,11.8,16.4,189.36,0.117,8
A40473,mix,63,7,Sx,11.5,13.8,267.43,0.082,8
A40473,mix,58,9,Sx,11.4,12.7,157.88,0.069,8
A40473,mix,58,10,Sx,11.4,13.6,137.68,0.079,8
A40473,mix,58,2,Sx,11.3,16.4,94.68,0.112,8
A40473,mix,57,6,Sx,11.1,15.4,214.75,0.098,8
A40473,mix,61,6,Sx,11.1,20.9,116.59,0.176,8
A40473,mix,62,2,Sx,10.9,9.3,736.06,0.037,8
A40473,mix,57,8,Sx,10.8,14.1,256.17,0.081,8
A40473,mix,57,5,Sx,10.5,13.8,267.43,0.075,8
A40473,mix,58,3,Cw,10.4,13.8,133.72,0.081,8
A40473,mix,57,4,Cw,10,10.3,480.06,0.046,8
A40473,mix,58,12,Cw,8.5,8.2,378.71,0.026,8
A40473,mix,57,7,Hw,8.4,7.8,837.11,0.016,8
A40473,mix,61,4,Cw,8.2,9.2,601.72,0.031,8
A40473,mix,61,3,Cw,8,7.8,837.11,0.023,8
A44413,mix,89,8,Sx,19.3,28.4,63.14,0.533,8
A44413,mix,93,7,Sx,19.2,25.3,59.67,0.426,8
A44413,mix,89,2,Sx,19.1,18.4,150.43,0.231,8
A44413,mix,96,4,Sx,18.2,26.5,54.39,0.442,8
A44413,mix,89,9,Sx,17.9,21.6,109.16,0.295,8
A44413,mix,96,2,Sx,17.9,21.6,81.87,0.295,8
A44413,mix,89,5,Hw,17.8,22,105.23,0.275,8
A44413,mix,89,7,Ep,17.8,11.8,365.77,0.081,1
A44413,mix,89,6,Pl,17.7,14.7,235.69,0.143,8
A44413,mix,93,8,Sx,17.6,28.5,47.03,0.491,8
A44413,mix,90,9,Sx,17.3,23.8,89.91,0.343,8
A44413,mix,89,3,Sx,17.2,22.7,98.84,0.312,8
A44413,mix,90,2,Ep,17.2,17.2,172.15,0.166,1
A44413,mix,90,4,Ep,17.2,16.3,191.69,0.149,1
A44413,mix,95,7,Hw,17.2,20.4,122.38,0.229,8
A44413,mix,96,5,Sx,17.2,22,78.92,0.294,8
A44413,mix,89,4,Pl,17,18.8,144.1,0.22,8
A44413,mix,93,9,Sx,16.7,23.9,66.87,0.334,8
A44413,mix,94,2,Sx,16.6,19.3,102.55,0.221,8
A44413,mix,89,1,Hw,16.2,23,96.28,0.273,8
A44413,mix,93,6,Pl,16.2,20.1,94.55,0.238,8
A44413,mix,90,5,Hw,16,21.4,111.21,0.234,8
A44413,mix,96,7,Ep,15.8,12,265.26,0.074,1
A44413,mix,90,8,Pl,15.7,12.3,336.64,0.09,8
A44413,mix,93,11,At,15.7,10.7,333.63,0.061,1
A44413,mix,95,3,Sx,15.7,20.9,116.59,0.244,8
A44413,mix,90,3,Hw,15.6,19.9,128.61,0.197,8
A44413,mix,94,1,Pl,15.5,18.5,111.61,0.194,8
A44413,mix,95,8,Hw,15.5,19,141.08,0.179,8
A44413,mix,93,2,Hw,15.3,21.3,84.19,0.222,8
A44413,mix,95,4,Sx,15.2,22.9,97.12,0.282,8
A44413,mix,93,10,Sx,15,21,86.61,0.236,8
A44413,mix,94,10,Sx,15,18.1,116.59,0.178,8
A44413,mix,95,5,Hw,15,18,157.19,0.155,8
A44413,mix,94,3,Pl,14.7,16.4,142.02,0.146,8
A44413,mix,94,5,Sx,14.7,21,86.61,0.231,8
A44413,mix,91,1,Pl,14.3,15.5,105.99,0.127,8
A44413,mix,94,6,Sx,14.3,14.5,181.68,0.111,8
A44413,mix,90,7,Pl,14,11.2,406.01,0.066,8
A44413,mix,91,6,Sx,13.2,17.3,85.08,0.144,8
A44413,mix,94,7,Cw,13.2,16.5,140.3,0.14,8
A44413,mix,94,9,Hw,13,14.2,189.43,0.084,8
A44413,mix,96,1,Cw,12.9,20,95.49,0.194,8
A44413,mix,90,1,Sx,12.8,17.4,168.22,0.142,8
A44413,mix,92,7,Pl,12.5,13.2,146.15,0.081,8
A44413,mix,96,3,Sx,12,13.5,209.59,0.082,8
A44413,mix,91,7,Sx,11.8,16.1,98.24,0.113,8
A44413,mix,94,8,Hw,11.5,14.4,184.21,0.076,8
A44413,mix,91,4,Sx,11.3,15.3,108.78,0.098,8
A44413,mix,93,1,Sx,11.3,17,132.17,0.12,8
A44413,mix,95,1,Sx,10.4,19,141.08,0.138,8
A44413,mix,91,3,Cw,10.2,12.7,157.88,0.069,8
A44413,mix,92,3,Sx,9.7,11.3,199.43,0.048,8
A44413,mix,92,4,Sx,9.6,9.8,265.15,0.036,8
A44413,mix,91,2,Sx,9.1,9.6,276.31,0.033,8
A44413,mix,95,6,Hw,9,9.6,552.62,0.026,8
A44413,mix,92,1,Cw,8.3,12.9,153.02,0.059,8
A44413,mix,92,2,Sx,7.6,11.8,182.88,0.041,8
A44413,mix,92,5,Pl,6.6,7.5,452.71,0.014,9
A44413,mix,92,6,Sx,6.4,8.4,360.9,0.018,8
,,,,,,,,,
